歌名,歌手,出现次数
Car Park,Fenne Lily,1
Carbon Copy,Ash King,1
Careless Whisper,Wham!,1
Catch A Dream,方大同,1
Catch You Catch Me,日向めぐみ,1
Cayman Islands (Album Version),Kings of Convenience,1
Cha - Cha - Cha,Finzy Kontini,1
Changes,Hayd,1
Chant De Nuit,Pierre Bensusan,1
Charlie Brown,Coldplay,1
Childhood Days,麗美,1
Child Hood,Casino Demon,1
Christmas Eve (圣诞快乐？),温和治疗(MILDCURE),1
Ciao,Enca,1
City Of Stars,Ryan Gosling,1
Claymation Courtyard,Buckethead,1
Clearest Blue,CHVRCHES,1
Cocoon,Jack Johnson,1
Cold air,ForeverLive,1
"Concerto for 2 Violins, Strings, and Continuo in D minor, BWV 1043:1. Vivace",Arthur Grumiaux / Herman Krebbers / Heinz Holliger / Les Solistes Romands / Arpad Gérecz / New Philharmonia Orchestra / Edo de Waart,1
"Concerto for Violin and Strings in E major, Op.8, No.1, R.269 ""La Primavera"": I.Allegro",Neville Marriner / Academy of St. Martin in the Fields,1
"Concerto for Violin and Strings in E major, Op.8, No.1, R.269 ""La Primavera"": III.Allegro (Danza pastorale)",Neville Marriner / Academy of St. Martin in the Fields,1
"Concerto for Violin and Strings in F minor, Op.8, No.4, R.297 ""L'inverno"": II.Largo",Neville Marriner / Academy of St. Martin in the Fields,1
Congratulations,Post Malone / Quavo,1
Conversation 3,睡前谈话,1
Country Victoria,Fourteen Nights At Sea,1
Cruel Summer,Taylor Swift,1
Cuando Me Ennamoro,Andrea Bocelli,1
DANCE with MOON,玉置浩二,1
DEAR JOHN,比莉,1
DREAM (Live),钱正昊 / 朱星杰 / 范丞丞 / 黄明昊 (Justin) / 朱正廷 / 丁泽仁 / 周彦辰,1
Dancing,Mellow Fellow,1
Darling,爱是唯一,1
Day 1 ◑,HONNE,1
Day Of The Lords,Joy Division,1
Daylight,Maroon 5,1
Dear Lonely,Dependence,1
Dear Mary,悶餅MOONBAND,1
Dear You,昨夜派对（L.N Party）,1
Dear you and the boy,陈珊妮 / 张悬,1
"Denver, the Last Dinosaur",Various Artists,1
Disaster,Conan Gray,1
Disenchanted,My Chemical Romance,1
Distance,KILLY,1
Do Not Go Gentle Into That Good Night,John Lithgow / Ellen Burstyn / Casey Affleck / Jessica Chastain / Matthew McConaughey / Mackenzie Foy,1
Dog Days Are Over,Florence + The Machine,1
Don't Break My Heart (Live),王菲,1
Don't Break My Heart (live),窦靖童,1
Don't Cry for Me Argentina,Madonna,1
"Don't Cry, 2020",COIN,1
"Don't Think Twice, It's All Right",Bob Dylan,1
Don't Worry Be Happy,Holly Dolly,1
Don't You,布朗尼,1
Dreams,The Cranberries,1
Du Plaisir,Félix Gray,1
Dying In the Sun,The Cranberries,1
"EYES, NOSE, LIPS (眼，鼻，嘴) (KR Ver._BIGBANG WORLD TOUR 2015~2016 [MADE] IN JAPAN)",太阳,1
Easy,彭坦,1
Edo,Iwamizu,1
Eleanor Rigby,Joan Baez,1
Elephant Stone,The Stone Roses,1
Elliot's Song,Morsion,1
Elliott,Fenne Lily,1
Enchanted,Owl City,1
Estrada Branca,坂本龍一,1
Ever Since the World Began,Survivor,1
Every Breath You Take,The Police,1
Everything Will Flow,Brett Anderson,1
Experience,Ludovico Einaudi,1
Eyes On Me,王菲,1
FANTASTIC BABY,BIGBANG,1
FEI FEI RUN (Live),木马乐队,1
Fake Plastic Trees,Radiohead,1
Feeling Good,Muse,1
Feifei Run,Muma木马,1
Finding the Rose,Hans Zimmer / Richard Harvey,1
Fine Again,Seether,1
Fire Flower,Summer Salt,1
Firework,Katy Perry,1
Fireworks,First Aid Kit,1
First Love,宇多田ヒカル,1
Fix You,Coldplay,1
Fly Away,F.I.R.,1
Fly Away From Here,Aerosmith,1
Fly Me To The Moon,小野リサ,1
Fly Me to the Moon,Joshua Radin,1
For Tomorrow (2012 Remaster),Blur,1
For You To Be Here,Tom Rosenthal,1
Foreign Time,Glass Towers,1
Forever Young (童声版),Various Artists,1
Fortune Teller,Maroon 5,1
Fragile,小松原俊,1
French Fries With Pepper,Morphine,1
Frosty the Snowman,Fiona Apple,1
Full Circle,Glorie,1
Gardenia,Nikos Ignatiadis,1
Gee,少女时代,1
Gemini（双子）,酒鬼在楼上,1
Generate Some Action,Fatback 4Way,1
Girlfriend,Avril Lavigne,1
Give Me One Reason,Lee Ritenour,1
Give Me a Sigh,Les Gillis,1
Glacier,坂本龍一,1
Glass Monster,Fourteen Nights At Sea,1
Gloria (Digitally Remastered 1996),Patti Smith,1
Go to Die,Dogma,1
Going Go,Tizzy T,1
Going Home: Theme Of The Local Hero,Mark Knopfler,1
Golden Heart,Mark Knopfler,1
Good Days,SZA,1
Goodnight girl,旅行团乐队,1
Got A Little Crush On You,Wildflowers / Emmi,1
Green (木吉他版),麦田守望者,1
Green Light,Cicada,1
Green is the Colour,Pink Floyd,1
Growing Pains,Nathan Trent,1
Guys,The 1975,1
Gymnopédie No.1:Lent et douloureux,Jean-Marc Luisada,1
HAPPY BIRTHDAY,back number,1
HAPPY NEW YEAR,小蓓蕾组合,1
"Hakuna Matata (From ""The Lion King""/Soundtrack)",Joseph Williams / Jason Weaver / Ernie Sabella / Nathan Lane,1
Hallucinogenics (feat. Lana Del Rey),Matt Maeson / Lana Del Rey,1
Halo,Beyoncé,1
Hand In Hand,Koreana,1
Happier,Ed Sheeran,1
Happy 2000,黎明,1
Happy Birthday,杏子,1
Happy Birthday To You(祝你生日快乐 DiESi Remix),DiESi,1
Hard to Sleep,Gracie Abrams,1
"Haru yo, Koi",Shinya Kiyozuka,1
Hasta la Raíz,Natalia Lafourcade,1
Have A Good Day,旅行新蜜蜂,1
Head Above Water (feat. We The Kings),Avril Lavigne / We the Kings,1
Head In The Clouds,Hayd,1
Heather,Conan Gray,1
Heavenly,Cigarettes After Sex,1
Hello Beautiful,瘦子E.SO,1
Hello My Love,Westlife,1
Hello Seattle,Owl City,1
"Hello,shooting-star",moumoon,1
Hero,Mariah Carey,1
"Hey Beautiful (From ""How I Met Your Mother""/Theme)",The Solids,1
Hit The Road Jack,Ray Charles,1
Hollywood,黑裙子,1
Home,Westlife,1
Homesick,Dua Lipa / Chris Martin,1
Hotel California,Eagles,1
How Do You Sleep?,Sam Smith,1
How Much,自然卷,1
How Much I Love You,Matt吕彦良,1
HoydeA,傻子与白痴,1
I,Athletics,1
I (feat. Verbal Jint),太妍 / Verbal Jint,1
I Don't Want To Say Goodbye,Teddy Thompson,1
I Drink Wine,Adele,1
I Dug Up A Diamond,Mark Knopfler,1
I Feel Good,James Brown,1
I Feel It Coming,The Weeknd / Daft Punk,1
I Gotta Feeling,The Black Eyed Peas,1
I Hope She Sees This,For When You Can't Breathe,1
I Love You,王若琳,1
I Make Sparks,Novo Amor,1
I Met a Comet(我遇见了彗星),莫非定律乐团,1
I Never Told You,陈冠希,1
I Remember,MOCCA,1
I Remember You,Skid Row,1
I See You,Leona Lewis,1
I Still Want Your Love (feat. Jinnie),Sam Ock / Jinnie,1
I Took A Pill In Ibiza,Mike Posner,1
I Want To Talk About You,Ryo Fukui,1
I Want to Break Free,Queen,1
I'd Rather Be with You,Joshua Radin,1
I'll Be There For You,The Rembrandts,1
I'll Make Love To You,Boyz II Men,1
I'll Never Love Again (Film Version),Lady Gaga / Bradley Cooper,1
I'm Callin',Tennis,1
I'm Gonna Be 500 Miles,The Proclaimers,1
If You Leave Me Now,方大同,1
"Ink (Live at Le Casino De Paris, Paris)",Coldplay,1
Iris,The Goo Goo Dolls,1
Is This Love,逃跑计划,1
It Never Rains In Southern California [1972],Albert Hammond,1
It's Okay Not To Be Alright,PP Krit,1
I’m Not That Girl,Cynthia Erivo,1
Je te veux,Erik Satie / France Clidat,1
Jiggle Jiggle,Duke & Jones / Louis Theroux,1
Jingle Bell Rock,Bobby Helms,1
Jocelyn Flores,XXXTENTACION,1
Joey,Concrete Blonde,1
Julia,王力宏,1
Just A Feeling,Maroon 5,1
Just Like Honey,The Jesus and Mary Chain,1
K.,Cigarettes After Sex,1
KTBS(콩떡빙수) - Cool Summer By Junjaman,AKMU,1
Kanata,MONO,1
Kanizsa Triangle,基诺,1
Katrina,陶喆,1
Kaze,Priscilla Ahn,1
Kiss me Kiss me,蜷花仕女,1
Koko,坂本龍一,1
Krafty (2015 Remaster),New Order,1
K歌之王,陈奕迅,1
LA VIE EN ROSE,小野リサ,1
LMLY,王嘉尔,1
LUCKYSTAR,幡野智宏,1
LUNCH,Billie Eilish,1
La Marseillaise,Various Artists,1
La Vie En Rose,小野リサ,1
Lady Low,Teleman,1
Lake and Ocean,The Coral Sea,1
Lakeside,动物园钉子户,1
Last Flowers,Radiohead,1
Leave,孙燕姿,1
Leave a Light On,Tom Walker,1
Leaving On A Jet Plane,Chantal Kreviazuk,1
Lebrontron,Buckethead,1
Les Misérables: Epilog,Reinhard Brussmann / Sona Macdonald / Martina Dorak / Orchester der Vereinigten Bühnen Wien / Jane Comerford,1
Let Go,Beau Young Prince,1
Let It Be,The Beatles Recovered Band,1
"Let It Go (From ""Frozen""/Soundtrack Version)",Idina Menzel,1
Let Me Be Free,Quark夸克乐队,1
Let's Fall In Love,莫文蔚,1
Let's Fall in Love for the Night,FINNEAS,1
Liability（翻自 Lorde）,邹乙,1
"Lieder ohne Worte, Op.19, MWV SD 5:No.1 In E (Andante con moto) ""Sweet Remembrance""",Daniel Barenboim,1
Life Is Beautiful,Keb' Mo',1
Life On Mars,David Bowie,1
Lighters,"Eminem / Royce Da 5'9"" / Bruno Mars",1
Like Me (feat. 袁娅维TIA RAY),马思唯 / 袁娅维TIA RAY,1
Like The World Is Ending,Richard Marx,1
Liquid Lunch,Caro Emerald,1
Little Monkey Rides on the Little Donkey,落日飞车,1
Live House,卢广仲,1
Live酒馆300秒,张悬,1
Lo Que No Me Dices,Kimberley Tell,1
Lo Que Siento,cuco,1
Lonely Christmas,陈奕迅,1
Lonely Day,旅行团乐队,1
Look On Down From The Bridge,Mazzy Star,1
Looking For America,Lana Del Rey,1
Lost at Sea,Dave Thomas Junior,1
Love In Slow Motion,Ed Sheeran,1
Love Is Love,昨夜派对（L.N Party）,1
Love Me Tender (princess Diaries 2 Ost),Norah Jones,1
Love Never Felt So Good,Michael Jackson,1
Love song (伴奏),水果星球,1
Lovesong,Adele,1
Loving Strangers,Jocelyn Pook / Russian Red,1
Lucky One,mich,1
Lying,Dan + Shay,1
MC来了,MC Hotdog,1
MELANCHOLY,White Cherry,1
MOON MUSiC,Coldplay / Jon Hopkins,1
MR. MOON,熊天平,1
Made for Mermaid,橘子海 (Orange Ocean) / The fin.,1
Main Title,Max Steiner,1
Man In The Mirror,Michael Jackson,1
Meditation de Thais,Arthur Grumiaux,1
Medley (友情歌2014 -1985) (Live),张学友,1
"Medley- A) Crow River Waltz, B)Jesu, Joy Of Man's Desiring, C) Jack Fig",Leo Kottke,1
Melody X,Bonaparte,1
Memories,Maroon 5,1
Menuet D major,Wolfgang Amadeus Mozart,1
"Merry Christmas Mr. Lawrence Main Theme (From ""Merry Christmas Mr. Lawrence"")",坂本龍一 / Brussels Philharmonic,1
Mickey,大波浪,1
Mickey Mouse Clubhouse,They Might Be Giants,1
Midnight Movies,Saint Motel,1
Midnight Train,Sam Smith,1
Midsummer Madness,88rising / Higher Brothers / Rich Brian / Joji / AUGUST 08,1
Miracles Happen,Myra,1
Missing,四分卫,1
Mojito (钢琴版) [原唱: 周杰伦],纪钧瀚 (Bryan Chi),1
Moments,Leo Stannard / Kidnap,1
Money,Cardi B,1
Money (That's What I Want) (Remastered),The Beatles,1
Money Fxxker,后海大鲨鱼,1
Monica(Live),张国荣,1
Monkey Snake,鸟撞 Birdstriking,1
Mood,24kGoldn / iann dior,1
Moon,Hucci,1
Moonlight Shadow,Dana Winner,1
Mr. Blue Sky,Electric Light Orchestra,1
My Anata,陶喆,1
My Anata (Live),陶喆,1
My City 南京,Jony J,1
My Dear Weirdo,昨夜派对（L.N Party）,1
My Favorite Things,Carrie Underwood,1
My Life Will,张悬,1
My Lily,何大河,1
My My Love,Joshua Radin,1
My way,彭坦,1
"Mystery of Love / Visions of Gideon (From ""Call Me by Your Name"")",Moisés Nieto,1
NARUTO Main Theme,六三四,1
New Light,John Mayer,1
Nice to Meet You,AMnesiac安尼西亚,1
Night Time,The fin.,1
Night in Shanghai,曹思义,1
Nightlight,Finding Hope,1
No Fear In My Heart (安可Live),朴树,1
No Fear in My Heart,朴树,1
No Such Disease,大波浪,1
"Nocturne No. 2 in E Flat Major, Op. 9, No. 2",Arthur Rubinstein,1
Nothing Gonna Stop Us Now,Latin Dance Band,1
Nothing New (feat. Phoebe Bridgers) (Taylor's Version) (From The Vault),Taylor Swift / Phoebe Bridgers,1
Nothings Gonna Stop Us Now,Starship,1
Nowhere Man,The Beatles,1
O (Part 2/Reprise),Coldplay,1
"Ob-La-Di, Ob-La-Da (Remastered)",The Beatles,1
Oceans,Coldplay,1
"Oh No, Oh Yes!",竹内まりや,1
Old Time Rock And Roll,Status Quo,1
Ole Ole Ole,The Fans,1
On Ice,Michael Nau,1
On the Road,鹿京周,1
One And Only,Adele,1
One Night In 北京,信乐团,1
Only Time,Enya,1
Ophelia,魏如萱,1
Opus,坂本龍一,1
Orange Moon,方大同,1
"Orchestral Suite No.3 in D major, BWV 1068: I.Air",Herbert von Karajan / Berliner Philharmoniker,1
Ordinary World,Green Day,1
Out Like a Light,The Honeysticks,1
Out Of Time,Joyside,1
Out of control,Peace Hotel(和平饭店),1
Outro,M83,1
"Overture (Suite) No. 3 in D Major, BWV 1068: II. Air, ""Air on G String"" (arr. for violin and orchestra)",西崎崇子 / Capella Istropolitana / Oliver Dohnányi,1
P.S. I Love You (2019),Supper Moment,1
PILLOWTALK,ZAYN,1
Papa Was a Rodeo,Sara Lov,1
Paradise...How Far?,椅子乐团 The Chairs,1
Paris,The 1975,1
Peaches,Justin Bieber / Daniel Caesar / Giveon,1
Penguin,Christina Perri,1
Penguin's Game (English Version),Gelato,1
Perfect (翻自 Ed Sheeran),丁芙妮,1
Perfect Duet,Zuzana Pelikánová,1
Perspective,坂本龍一,1
"Piano Sonata No.14 in C minor, K.457:2. Adagio",内田光子,1
Pigs In The River,重塑雕像的权利,1
Pillow (枕头),早安 / Lambert,1
Pillow Talk,Jeff Bernat,1
Pink Moon！,愚月FoolMoon,1
Planet Rock,The Soul Sonic Force / Afrika Bambaataa,1
Play我呸 (Play World Tour Live),蔡依林,1
Pornographer (main theme),小山絵里奈,1
Post Break-Up Sex,The Vaccines,1
Prayer for the Paranoid,Mojave 3,1
"Prelude in D-Flat Major, Op. 28, No. 15 ""Raindrop""",Arthur Rubinstein,1
Prettiest Friend (Demo),Jason Mraz,1
Prologue,John Williams,1
Prélude N° 1 en Do majeur BWV 846,朱晓玫,1
Pump It,Black Eyed Peas,1
ROCKLIFE,达达乐队,1
Rain In Forest,Sounds Of Nature,1
Rain On Me,Lady Gaga / Ariana Grande,1
Rain Watcher,惘闻,1
Rainbow Chaser,中川イサト,1
Rainy Day,Stephan Kreussel,1
Reason,群星,1
Red,王嘉尔 / ICE,1
Remember The Time,Michael Jackson,1
Rhythm of the Rain,The Cascades,1
Right Here Waiting,Richard Marx,1
Romeo's Tune,Pajaro Sunrise,1
Runaway,陶喆,1
Runaway Baby,Bruno Mars,1
Rêverie L. 68,Zoltán Kocsis,1
Sally Garden,David Davidson,1
San Francisco,The Mowgli's,1
"Sancho, Quijote",Grupo Musical Ginesitos,1
Santa Baby,Ariana Grande / Elizabeth Gillies,1
Say It!,Roi Müzik,1
Say You Say Me,Lionel Richie,1
Secret lover,大波浪,1
Secrets,OneRepublic,1
See You Again,Wiz Khalifa / Charlie Puth,1
Self Care Freestyle ft.谢帝,艾志恒Asen / 谢帝,1
Seven Veils,Adam Hurst,1
Sex Drugs Internet,新裤子,1
Shame,Ciaran Lavery,1
Shape Of My Heart,Sting,1
Shape of My Heart,Backstreet Boys,1
Shape of You,Ed Sheeran,1
She,Elvis Costello,1
Shine,逃跑计划,1
Shining Boy & Little Randy,坂本龍一,1
Shining Die,二向箔,1
Shivers (feat. Jessi & SUNMI),Ed Sheeran / Jessi / 宣美,1
Sick Love,水仙LONE,1
Silence,Movediz,1
Silent Day,便利商店,1
Singalongsong,方大同,1
Singin' In The Rain,Gene Kelly,1
Skaters' Waltz,André Rieu,1
Sleeping Dogs,Sister Castle Theater,1
Sleepless.,愚月FoolMoon / 执纸大魔王,1
Slow Down,椅子乐团 The Chairs,1
Smooth Move,Cory Wong,1
Snow White,Maximilian Hecker,1
Snow on the Lower East Side,Monarch Trio,1
Snowman,Harryan Yoonsoan,1
Snowy Secret（冬眠）,萨吉,1
So Far From The Clyde,Mark Knopfler,1
So You Want To Be A Rock 'N' Roll Star (Mono Version),The Byrds,1
Sound For Celebration,重塑雕像的权利,1
South Commons,Casino Demon,1
Sparrows,Zenful Whispers,1
SpongeBob SquarePants Theme Song,SpongeBob Squarepants,1
Stand Your Ground,Joshua Hyslop,1
Star Treatment,Arctic Monkeys,1
Starboy,The Weeknd / Daft Punk,1
Starry Starry Night,Lianne La Havas,1
Stay,Hazy Nights,1
Stay With Me《孤单又灿烂的神-鬼怪》OST（翻自 PUNCH/朴灿烈.）,D.Mao,1
Stay-牡蛎之歌,张悬,1
Stinky Tofu,傻子与白痴,1
Strangers,The Kinks,1
Stupid Love,Dan + Shay,1
"Suite No.3 in D, BWV 1068:2. Air",Academy of St. Martin in the Fields / Thurston Dart / Sir Neville Marriner,1
Sultans of Swing,Mark Knopfler,1
Summer Holiday,旅行团乐队,1
Summer Of Love,王菲,1
Summertime,My Chemical Romance,1
Sunday Trip,拖特巴士,1
Sunset Lyric Poetry,白日密语,1
Sunsetz,Cigarettes After Sex,1
Super Star(Live),S.H.E,1
Sweet,Cigarettes After Sex,1
Sweet Baby,潮池蓝,1
Sweet Child O' Mine,Guns N' Roses,1
"Sweet Dreams, TN",The Last Shadow Puppets,1
TIME,小青龙,1
TITANIC (feat. Rich Brian),王嘉尔 / Rich Brian,1
Take Me Home Country Roads,John Denver,1
Talking Body,Tove Lo,1
Tears,Clean Bandit / Louisa Johnson,1
Tell Me If You Wanna Go Home,Keira Knightley / Hailee Steinfeld,1
The Adults Are Talking,The Strokes,1
The Birthday Song,Josh Stewart,1
The Blower's Daughter,Damien Rice,1
The Dark Side of the Moon,Pink Floyd,1
The End Of The World,John Mellencamp,1
The End of the World,Sharon Van Etten,1
The Great Salt Lake,Band of Horses,1
The Hills,The Weeknd,1
The Hype (Berlin),twenty one pilots,1
The Kids from Yesterday,My Chemical Romance,1
The Last Goodbye,The Kills,1
The Moment,孙燕姿,1
The Most Beautiful Thing,Bruno Major,1
The Rose,藤田恵美,1
The Sound Of Silence,Simon & Garfunkel,1
The Summer Ends,American Football,1
The Sun Also Rises,久石譲,1
They Don't Care About Us,Michael Jackson,1
Thinking Out Loud,Ed Sheeran,1
Third Party,木玛&Third Party / Muma木马,1
This Is My Year,Woodes,1
This Is the Day,The The,1
Thriller,Michael Jackson,1
Time,Pink Floyd,1
Time Traveling,Anthony Lazaro / Sarah Kang,1
Time after time〜花舞う街で〜,倉木麻衣,1
Time to Say Goodbye (Con te partirò),Sarah Brightman / Andrea Bocelli,1
To Love You More,Lucia Micarelli,1
Tom And Jerry,Bradley,1
Tomorrow,Avril Lavigne,1
Tonight We'll Be Fine,椅子乐团 The Chairs,1
Top Of The World,Carpenters,1
Total Eclipse of the Heart,Westlife,1
Touch My Bass,Jam in Shy 卷米烧,1
Touch My Soul,Jam in Shy 卷米烧,1
Treasure,Bruno Mars,1
True Love,虞书欣,1
Try,Colbie Caillat,1
Two Days,黑裙子,1
U (Chinese Version),Super Junior,1
UNTOLD ANSWER,Vichaya Vatanasapt,1
Un Zombie A La Intemperie,Alejandro Sanz / Luis Enrique,1
Un' Estate Italiana,Giorgio Moroder,1
Unchained Melody,The Righteous Brothers,1
Under the Sea,Samuel E. Wright,1
Underneath The Stars,The Cure,1
Until I Found You,Stephen Sanchez,1
Until I Found You (Piano Version),Stephen Sanchez,1
Up&Up,Coldplay,1
Uptown Funk,Mark Ronson / Bruno Mars,1
Us and Them,Derek Pope,1
VIEW OF SILENCE,久石譲,1
Valentine,Laufey,1
Vanishing Act,Lou Reed,1
Very Early One Morning On Old Road,Dakota Suite,1
Vincent,Don McLean,1
Viva La Vida,Coldplay,1
"Voices of Spring, Op.410 (Frühlingsstimmen) - vocal version",Kathleen Battle / Wiener Philharmoniker / Herbert von Karajan,1
Waka Waka (This Time for Africa),Shakira / Freshlyground,1
Wake Me,Bleachers,1
Wake Me up When September Ends,Green Day,1
"WandaVision (From ""WandaVision"")",Geek Music,1
Wassuh,AQVOL,1
Waterloo,Matt吕彦良,1
We Are The World,U.S.A. for Africa,1
We We,M.D.,1
Welcome Home,Radical Face,1
Welcome To New York,Taylor Swift,1
Welcome to My Head (Intro),WUYO,1
Wet The Bed,Chris Brown / Ludacris,1
What If I Leave,Rachael Yamagata,1
What It Is,Dire Straits,1
When You Believe,Whitney Houston / Mariah Carey,1
Where Did U Go,G.E.M.邓紫棋,1
Wherever I Go,Mark Knopfler / Ruth Moody,1
Who Do You Love,The Chainsmokers / 5 Seconds of Summer,1
Wildest Dreams,Taylor Swift,1
Winter Things,Ariana Grande,1
Wish You Were Here,Pink Floyd,1
With a Little Luck,岩崎太整,1
Without You (Raspo Remix),Raspo / Avicii / Sandro Cavazza,1
Wonderful tonight,方大同,1
Workingman's Blues #2,Bob Dylan,1
Yesterday,朴慧京,1
Yesterday (Remastered),The Beatles,1
Ylang Ylang,FKJ,1
You (Acoustic),Dan + Shay,1
You Are My Everything (Ost.รักฉุดใจนายฉุกเฉิน),Billkin,1
You Are My Sunshine (Version 1),Elizabeth Mitchell,1
You Are Not Alone,Michael Jackson,1
You Can Listen You Can Talk,Carsick Cars,1
You Don't Trust Me At All,范晓萱,1
You Give Love a Bad Name,Bon Jovi,1
You Lost Me,Tiny Moving Parts,1
You Open My Mind,Vancouver Sleep Clinic,1
You Raise Me Up,Westlife,1
You are so great,蛙池,1
You'll See,Tizzy Bac,1
You're Beautiful,James Blunt,1
"You're On Your Own, Kid",Taylor Swift,1
action!,坂本真綾,1
and my life turned around,olli,1
bliss,iogi,1
carpool,Zachary Knowles,1
doodoodoo,林家谦,1
eTunnel,Primary / 吴赫 / GAEKO,1
frozen heart.,8bite / Dyrox,1
fullmoon (S U R V I V E Version),坂本龍一 / S U R V I V E,1
hApPy BiRtHdaY,劣 / 阿岛先生,1
heartless,艾瑞欧ERIOE / WR/OC,1
hopi,羊文学,1
"hora,初夏",陈越龙,1
in love,vietra,1
it's ok!,corook,1
ki,hideyuki hashimoto,1
la vie en rose,mxmtoon,1
lovely,Billie Eilish / Khalid,1
not alone,sadeyes / Lil Xtra,1
perfume,mehro,1
red lips,沙一汀EL,1
shut up and listen,汉堡黄,1
the cure,Olivia Rodrigo,1
this is how you fall in love,Jeremy Zucker / Chelsea Cutler,1
turn over?,Mr.Children,1
walker,坂本龍一,1
we just call it love,肆囍乐队,1
we met; weak men dog,The Weak Men,1
you are my sunshine,Christina Perri,1
þÚ Ert Sólin,Ólafur Arnalds,1
Опера 2 Прелюдия,Vitas,1
"Отойди, Отойди, Грусть Печаль…",Oleg Pogudin,1
Танцевать,Molchat Doma,1
กีดกัน (Skyline) (Ost. แปลรักฉันด้วยใจเธอ),Billkin,1
เชื่อว่ารักแท้มีจริง,Gunachi Achirawich,1
เพราะใจ,Jeab Wattana,1
“王子呀…”,何崇志,1
◍•ᴗ•◍,小好Lil Good,1
。,散人,1
《巴啦啦小魔仙星缘奇迹》片头曲,巴啦啦小魔仙,1
《海绵宝宝》主题曲,海绵宝宝,1
《绿帽子》回到新学校,新学校废物合唱团 / 刘凹,1
「 沒 有 感 同 身 受 」,Slitmy7 / Natsu.,1
いつも雨,never young beach,1
きみにとどけ,タニザワトモフミ,1
さよなら夏の日,山下達郎,1
となりのトトロ,井上あずみ,1
とんちんかんちん 一休さん (聪明的一休),群星,1
ひまわりの約束,秦基博,1
ふたたびの、雨,RADWIMPS,1
また君と,JAY'ED / Ms.OOJA,1
まちがいさがし,菅田将暉,1
まともがわからない,坂本慎太郎,1
やさしいままで,never young beach,1
アイキャッチ,根岸貴幸,1
イエロー・マジック(东风),イエロー・マジック・オーケストラ,1
オリビアを聴きながら,杏里,1
カンパイ・ソング,嵐,1
キミがいる (在你身边),Galla,1
グライダー,玉置浩二,1
サブタイトル,根岸貴幸,1
ステッセルのピアノ,小松原俊,1
ツバメの季節に,坂本慎太郎,1
ドラえもんのうた(大杉久美子版／TVサイズ),大杉久美子,1
ドリームボートが出る夜に,菊池桃子,1
ビンクスの酒 (BONUS TRACK),田中真弓 / 中井和哉 / 岡村明美 / 山口勝平 / 平田広明 / 大谷育江 /  山口由里子 / 矢尾一樹 / 长岛雄一,1
ブルーバード,いきものがかり,1
ミック・ジャガーに微笑みを,中森明菜,1
ミライのテーマ,山下達郎,1
ヤキモチ,高橋優,1
ラブ・ストーリーは突然に,小田和正,1
リブート,miwa,1
一 一,Aliosha,1
一个人,杨乃文 / 伍佰,1
一个人想着一个人,曾沛慈,1
一个人的冬天,陈楚生,1
一个人的精彩,萧亚轩,1
一个人的行李,戴佩妮,1
一个人看电影,小熊饼干,1
一个人看电影(Acoustic),小熊饼干,1
一个人跳舞,歪歪歪,1
一个像夏天一个像秋天,范玮琪,1
一个理想主义者的独白,刘东明,1
一个西藏,六个国王,1
一九九九,戴佩妮,1
一些感觉,张学友,1
一人分饰两角,王菲,1
一代,功夫胖KungFuPen,1
一体,鸟撞 Birdstriking,1
一千年以后,林俊杰,1
一口一口,莫文蔚,1
一场游戏一场梦,王杰,1
一天到晚游泳的鱼,张雨生,1
一家去旅行 (野餐烧烤BGM),店铺背景音乐,1
一往情深的恋人,李健,1
一放工菊花都放松,新青年理发厅,1
一方天地,张本煜,1
一时的选择,林俊杰,1
一杯咖啡到天亮,王筝,1
一样的月光,徐佳莹,1
一样的月光 (Live),徐佳莹,1
一步之遥 Por Una Cabeza（《闻香识女人》插曲）,CelloNaduo,1
一生中最爱,谭咏麟,1
一生何求,陈百强,1
一生爱你千百回,梅艳芳,1
一生能爱几个人,新学校废物合唱团,1
一笑倾城,汪苏泷,1
一笑而过,那英,1
一般的生活,Schoolgirl byebye,1
一起 好吗,反光镜,1
一起去旅行,魏如萱,1
七扎,万晓利,1
七月的尾巴,杳杲乐队 / 阿甯 / 吆拐,1
七色光之歌,群星,1
万万,赵英俊,1
万万没想到,叫兽易小星 / 白客,1
万事如意,张也,1
万家灯火,苏紫旭&The Paramecia,1
万水千山总是情,汪明荃,1
万物生 (Chinese Version),萨顶顶,1
上上签,周华健,1
上学威龙,法老,1
上帝保佑,窦唯,1
上海巴子,顶楼的马戏团,1
上海物语,不优雅（biuya）,1
上班尚怨,宝島材料行,1
下一次爱情来的时候,蔡健雅,1
下一站天后,Twins,1
下个星期去英国,陈绮贞,1
下班快乐,上海彩虹室内合唱团,1
下过雨的营地出太阳了,Cicada,1
下雨回家唱歌,七八点,1
下雨天 (Cover.南拳妈妈),hestheone,1
下雨天 (Live),黄丽玲,1
下雨天我好想你,梭哈乐队(ShowHand),1
不会说谎的眼睛 (Feat. DP龙猪),马思唯 / DP龙猪,1
不再为你,理想后花园,1
不分手的恋爱,汪苏泷,1
不只是南方,腰乐队,1
不和你说话,斯斯与帆,1
不多（翻自逼哥）,给我一杯卡布奇诺,1
不如跳舞,陈慧琳,1
不小心爱上你 ft. 魏如萱 waa wei,甜約翰 Sweet John / 魏如萱,1
不想,戴佩妮,1
不是人人都能穿十号球衣,Chinese Football,1
不是真的爱我,孙燕姿,1
不潮不用花钱,林俊杰 / By2,1
